SPECIES,LATITUDE,LONGITUDE
KANGAROO,-35.30864491,149.0310815
KANGAROO,-35.25140561,149.1749364
KANGAROO,-35.40826698,149.1259657
KANGAROO,-35.34441206,149.1354066
KANGAROO,-35.26072439,149.1476461
KANGAROO,-35.16215319,149.1448721
KANGAROO,-35.335479,149.0526264
KANGAROO,-35.33316242,149.1617563
KANGAROO,-35.22123202,149.1752523
KANGAROO,-35.4735215,149.1038622
KANGAROO,-35.30102217,149.0660557
KANGAROO,-35.27482334,149.0757266
KANGAROO,-35.38732935,149.1215752
KANGAROO,-35.21918583,149.1184319
KANGAROO,-35.466816,149.0911164
KANGAROO,-35.30935707,149.1223564
KANGAROO,-35.15601079,149.1249818
KANGAROO,-35.26852976,149.0751288
KANGAROO,-35.37403842,149.0577164
KANGAROO,-35.40482212,149.0534016
KANGAROO,-35.3989087,149.1522538
KANGAROO,-35.34715271,149.138441
KANGAROO,-35.28319877,149.1546795
KANGAROO,-35.38551478,149.0952831
KANGAROO,-35.25327489,149.1622161
KANGAROO,-35.44333975,149.0967824
KANGAROO,-35.44891827,149.0951878
KANGAROO,-35.40372707,149.0646845
KANGAROO,-35.21327673,149.1814092
KANGAROO,-35.43950717,149.0888023
KANGAROO,-35.27885572,149.1500272
KANGAROO,-35.38492768,149.0950077
KANGAROO,-35.39346505,149.1034705
KANGAROO,-35.32987933,149.1260371
KANGAROO,-35.39662868,149.1437477
KANGAROO,-35.30263636,149.0647435
WALLABY,-35.38733962,149.099643
KANGAROO,-35.3074358,149.0171911
KANGAROO,-35.39637208,149.1290269
KANGAROO,-35.40759936,149.0571346
KANGAROO,-35.2457482,149.0744867
KANGAROO,-35.37228051,149.0861885
KANGAROO,-35.26428554,149.1482395
KANGAROO,-35.28837182,149.1677875
KANGAROO,-35.38071238,149.0445475
KANGAROO,-35.43661542,149.0976552
KANGAROO,-35.22870827,149.1959395
KANGAROO,-35.22943212,149.1957963
KANGAROO,-35.18631323,149.0871405
KANGAROO,-35.18631323,149.0871405
KANGAROO,-35.3221846,149.3810685
KANGAROO,-35.23396594,149.1034703
KANGAROO,-35.41684737,149.0630574
KANGAROO,-35.38295095,149.0799373
KANGAROO,-35.22548735,149.1438653
KANGAROO,-35.44653927,149.1243348
KANGAROO,-35.36681275,149.08168
KANGAROO,-35.18523795,149.0870233
WALLAROO,-35.44515918,149.1146733
KANGAROO,-35.44563909,149.1119786
KANGAROO,-35.44423093,149.1035731
KANGAROO,-35.46793904,149.1027926
KANGAROO,-35.35177537,149.1344161
KANGAROO,-35.22557604,149.1954705
KANGAROO,-35.32841862,149.0590218
KANGAROO,-35.44145919,149.1210936
KANGAROO,-35.22548296,149.1616295
KANGAROO,-35.33180389,149.053672
KANGAROO,-35.24191902,149.1942456
KANGAROO,-35.27285732,149.195532
KANGAROO,-35.27378239,149.1952411
KANGAROO,-35.44523835,149.1137727
KANGAROO,-35.36782882,149.1681034
KANGAROO,-35.36887462,149.1682862
KANGAROO,-35.38052858,149.1702159
KANGAROO,-35.40417722,149.1456904
KANGAROO,-35.4095541,149.1343184
KANGAROO,-35.43310908,149.1269607
0,-35.31238785,149.1231845
KANGAROO,-35.27773525,149.086597
KANGAROO,-35.1853776,149.0734893
WALLAROO,-35.44556962,149.1124766
KANGAROO,-35.1517004,149.1458499
KANGAROO,-35.1743458,149.1455401
KANGAROO,-35.18693951,149.0830717
KANGAROO,-35.28467733,149.1933457
KANGAROO,-35.38351058,149.0950739
KANGAROO,-35.4062537,149.1398242
KANGAROO,-35.44460213,149.0938508
WALLAROO,-35.44351994,149.1170337
WALLAROO,-35.44375331,149.1175743
WALLAROO,-35.35292763,149.133146
KANGAROO,-35.23693786,149.067128
KANGAROO,-35.37988911,149.0936817
KANGAROO,-35.56624273,149.1329414
KANGAROO,-35.37655683,149.133557
KANGAROO,-35.35322109,149.1008074
KANGAROO,-35.29265923,149.1708965
KANGAROO,-35.22269888,149.1285347
KANGAROO,-35.32976187,149.1229442
