species,lat,lng
kangaroo,-35.30935707,149.1223564
kangaroo,-35.15601079,149.1249818
kangaroo,-35.26852976,149.0751288
kangaroo,-35.37403842,149.0577164
kangaroo,-35.40482212,149.0534016
kangaroo,-35.3989087,149.1522538
kangaroo,-35.34715271,149.138441
kangaroo,-35.28319877,149.1546795
kangaroo,-35.38551478,149.0952831
kangaroo,-35.25327489,149.1622161
kangaroo,-35.44333975,149.0967824
kangaroo,-35.44891827,149.0951878
kangaroo,-35.40372707,149.0646845
kangaroo,-35.21327673,149.1814092
kangaroo,-35.43950717,149.0888023
kangaroo,-35.27885572,149.1500272
kangaroo,-35.38492768,149.0950077
kangaroo,-35.39346505,149.1034705
kangaroo,-35.32987933,149.1260371
kangaroo,-35.39662868,149.1437477
kangaroo,-35.30263636,149.0647435
wallaby,-35.38733962,149.099643
kangaroo,-35.3074358,149.0171911
kangaroo,-35.39637208,149.1290269
kangaroo,-35.40759936,149.0571346
kangaroo,-35.2457482,149.0744867
kangaroo,-35.37228051,149.0861885
kangaroo,-35.26428554,149.1482395
kangaroo,-35.28837182,149.1677875
kangaroo,-35.38071238,149.0445475
kangaroo,-35.43661542,149.0976552
kangaroo,-35.22870827,149.1959395
kangaroo,-35.22943212,149.1957963
kangaroo,-35.18631323,149.0871405
kangaroo,-35.18631323,149.0871405
kangaroo,-35.3221846,149.3810685
kangaroo,-35.23396594,149.1034703
kangaroo,-35.41684737,149.0630574
kangaroo,-35.38295095,149.0799373
kangaroo,-35.22548735,149.1438653
kangaroo,-35.44653927,149.1243348
kangaroo,-35.36681275,149.08168
kangaroo,-35.18523795,149.0870233
wallaroo,-35.44515918,149.1146733
kangaroo,-35.44563909,149.1119786
kangaroo,-35.44423093,149.1035731
kangaroo,-35.46793904,149.1027926
kangaroo,-35.35177537,149.1344161
kangaroo,-35.22557604,149.1954705
kangaroo,-35.32841862,149.0590218
kangaroo,-35.44145919,149.1210936
kangaroo,-35.22548296,149.1616295
kangaroo,-35.33180389,149.053672
kangaroo,-35.24191902,149.1942456
kangaroo,-35.27285732,149.195532
kangaroo,-35.27378239,149.1952411
kangaroo,-35.44523835,149.1137727
kangaroo,-35.36782882,149.1681034
kangaroo,-35.36887462,149.1682862
kangaroo,-35.38052858,149.1702159
kangaroo,-35.40417722,149.1456904
kangaroo,-35.4095541,149.1343184
kangaroo,-35.43310908,149.1269607
kangaroo,-35.27773525,149.086597
kangaroo,-35.1853776,149.0734893
wallaroo,-35.44556962,149.1124766
kangaroo,-35.1517004,149.1458499
kangaroo,-35.1743458,149.1455401
kangaroo,-35.18693951,149.0830717
kangaroo,-35.28467733,149.1933457
kangaroo,-35.38351058,149.0950739
kangaroo,-35.4062537,149.1398242
kangaroo,-35.44460213,149.0938508
wallaroo,-35.44351994,149.1170337
wallaroo,-35.44375331,149.1175743
wallaroo,-35.35292763,149.133146
kangaroo,-35.23693786,149.067128
kangaroo,-35.37988911,149.0936817
kangaroo,-35.56624273,149.1329414
kangaroo,-35.37655683,149.133557
kangaroo,-35.35322109,149.1008074
kangaroo,-35.29265923,149.1708965
kangaroo,-35.22269888,149.1285347
kangaroo,-35.32976187,149.1229442
kangaroo,-35.34411175,149.0531497
kangaroo,-35.3930474,149.15915
kangaroo,-35.32654075,149.0640801
kangaroo,-35.25042213,149.1607785
kangaroo,-35.31994705,149.0641141
kangaroo,-35.31273582,149.0893287
kangaroo,-35.30069033,149.0655583
kangaroo,-35.22903661,149.1676531
kangaroo,-35.43505801,149.1257231
kangaroo,-35.38055021,149.0933436
kangaroo,-35.44102955,149.0868003
wallaby,-35.37372668,149.082149
kangaroo,-35.31833318,149.1469485
kangaroo,-35.31939808,149.1475002
kangaroo,-35.31853567,149.1470492
kangaroo,-35.28085354,149.1463617
kangaroo,-35.38442734,149.1368962
kangaroo,-35.45313843,149.0857516
kangaroo,-35.35284108,149.1423949
kangaroo,-35.44437764,149.1101642
kangaroo,-35.32986387,149.1227898
kangaroo,-35.41278653,149.1233945
kangaroo,-35.38526998,149.0955907
kangaroo,-35.38524542,149.0960498
kangaroo,-35.28390447,149.0403207
kangaroo,-35.28228468,149.1503125
kangaroo,-35.41072496,149.0870766
kangaroo,-35.38979923,149.1126377
kangaroo,-35.38739198,149.1150655
kangaroo,-35.3663541,149.167408
kangaroo,-35.44777156,149.0648515
kangaroo,-35.40154603,149.065291
kangaroo,-35.41034234,149.0625316
kangaroo,-35.32939672,149.234492
kangaroo,-35.36941855,149.0832159
kangaroo,-35.32475532,149.0967399
kangaroo,-35.32502538,149.0967377
kangaroo,-35.406806,149.1387849
kangaroo,-35.30833708,149.1189217
kangaroo,-35.40453847,149.0646262
kangaroo,-35.44526222,149.0794717
kangaroo,-35.41326891,149.0630405
kangaroo,-35.37671862,149.1334749
kangaroo,-35.29655197,148.9257213
kangaroo,-35.42820265,149.0747434
kangaroo,-35.26235875,149.1472665
kangaroo,-35.32910251,149.2306447
kangaroo,-35.37292435,149.0657874
kangaroo,-35.38161178,149.0788795
kangaroo,-35.40475938,149.0633361
kangaroo,-35.4060055,149.1317316
kangaroo,-35.24759135,149.0912172
kangaroo,-35.24195428,149.1109542
kangaroo,-35.35659335,149.1224081
kangaroo,-35.42362909,149.1037399
kangaroo,-35.34536473,149.1153461
kangaroo,-35.34586813,149.1109788
kangaroo,-35.34773123,149.1075199
kangaroo,-35.35408028,149.1004829
kangaroo,-35.2435728,148.9860646
kangaroo,-35.36380937,149.167372
kangaroo,-35.41734043,149.1445799
kangaroo,-35.19141441,149.0956059
kangaroo,-35.37140706,149.0923327
kangaroo,-35.19109989,149.1255134
kangaroo,-35.15657875,149.1431539
kangaroo,-35.39209143,149.1089918
kangaroo,-35.4409269,149.0872685
kangaroo,-35.26870949,149.1463296
kangaroo,-35.37493242,149.0495148
kangaroo,-35.4495441,149.1302366
kangaroo,-35.2239685,149.1314235
kangaroo,-35.19836365,149.0914161
kangaroo,-35.36359632,149.0498836
kangaroo,-35.34371236,149.1145048
kangaroo,-35.43491302,149.0806604
kangaroo,-35.35605168,149.0766243
kangaroo,-35.29591017,149.1777078
kangaroo,-35.38525421,149.0955933
kangaroo,-35.35074816,149.1522679
kangaroo,-35.26215482,149.1495368
kangaroo,-35.22350365,149.1958353
kangaroo,-35.44590405,149.0937311
kangaroo,-35.45667251,149.0972546
kangaroo,-35.25181955,149.1494726
kangaroo,-35.18908188,149.016243
kangaroo,-35.17333985,149.0617665
kangaroo,-35.390937,149.1020171
kangaroo,-35.40314065,149.0624548
kangaroo,-35.43932798,149.0824569
kangaroo,-35.40202092,149.1487166
kangaroo,-35.34198296,149.1630629
kangaroo,-35.32502818,149.1646446
kangaroo,-35.37189877,149.1687062
kangaroo,-35.40971189,149.1347548
wallaroo,-35.35284103,149.0353684
kangaroo,-35.42146856,149.0954913
kangaroo,-35.20888094,149.1990901
kangaroo,-35.27287808,149.07567
kangaroo,-35.4451473,149.1133017
kangaroo,-35.28844238,149.1275948
kangaroo,-35.41215673,149.0612217
kangaroo,-35.24037559,149.1924162
wallaroo,-35.40116536,149.0598868
kangaroo,-35.34955565,149.1638272
kangaroo,-35.33712101,149.121575
kangaroo,-35.27713799,149.0776458
kangaroo,-35.38366707,149.1726026
kangaroo,-35.21212953,149.0963059
kangaroo,-35.14988083,149.1186126
kangaroo,-35.32704468,149.032138
kangaroo,-35.44028011,149.0878664
kangaroo,-35.44032499,149.0881261
kangaroo,-35.38231284,149.0955676
kangaroo,-35.17948805,149.1446247
kangaroo,-35.21601404,149.1931966
kangaroo,-35.21255129,149.1888054
kangaroo,-35.30890628,149.0937824
kangaroo,-35.3964725,149.1547291
kangaroo,-35.23164368,149.1451973
kangaroo,-35.44032745,149.1281896
kangaroo,-35.33615455,149.1620099
kangaroo,-35.36119739,149.1088814
kangaroo,-35.36716689,149.1681002
