road,lng,lat,species,count
KENT STREET,149.0959646,-35.32509088,eastern grey kangaroo,49
TRELOAR CRESCENT,149.1468009,-35.28065595,eastern grey kangaroo,49
CRETE ROAD,149.1678864,-35.28848041,eastern grey kangaroo,49
TRELOAR CRESCENT,149.1468675,-35.28058116,eastern grey kangaroo,49
GENERAL BRIDGES DRIVE,149.17052,-35.29225546,eastern grey kangaroo,48
SULWOOD DRIVE,149.0786569,-35.38132378,eastern grey kangaroo,48
FAIRBAIRN AVENUE,149.1681205,-35.28809967,eastern grey kangaroo,48
SULWOOD DRIVE,149.078618,-35.38150291,eastern grey kangaroo,48
HINDMARSH DRIVE,149.1159407,-35.34564273,eastern grey kangaroo,48
GENERAL BRIDGES DRIVE,149.1710997,-35.29287091,eastern grey kangaroo,48
LIMESTONE AVENUE,149.1464734,-35.28075081,eastern grey kangaroo,48
FAIRBAIRN AVENUE,149.1714367,-35.29334427,eastern grey kangaroo,48
HINDMARSH DRIVE,149.1159003,-35.34569127,eastern grey kangaroo,48
KENT STREET,149.0963111,-35.32542792,eastern grey kangaroo,48
FAIRBAIRN AVENUE,149.1681205,-35.28809967,eastern grey kangaroo,48
KENT STREET,149.0963111,-35.32542792,eastern grey kangaroo,48
HINDMARSH DRIVE,149.1159003,-35.34569127,eastern grey kangaroo,48
SULWOOD DRIVE,149.0788795,-35.38161178,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1163595,-35.34558528,eastern grey kangaroo,47
SULWOOD DRIVE,149.0784059,-35.38134889,eastern grey kangaroo,47
SULWOOD DRIVE,149.0791641,-35.38187932,eastern grey kangaroo,47
KENT STREET,149.0969763,-35.32394541,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1161327,-35.34566142,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1157321,-35.34558449,eastern grey kangaroo,47
CRETE ROAD,149.1667915,-35.28772989,eastern grey kangaroo,47
HINDMARSH DRIVE,149.115587,-35.34537477,eastern grey kangaroo,47
CRETE ROAD,149.1676465,-35.28836145,eastern grey kangaroo,47
ARMBRUSTER STREET,149.0872303,-35.44083702,wombat,47
GENERAL BRIDGES DRIVE,149.1710403,-35.29287125,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1159797,-35.3454971,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1157412,-35.34550898,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1150683,-35.3452116,eastern grey kangaroo,47
RUSDEN STREET,149.1143517,-35.34526262,eastern grey kangaroo,47
SULWOOD DRIVE,149.0788846,-35.38185745,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1157408,-35.34557667,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1166117,-35.34565126,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1156456,-35.34556177,eastern grey kangaroo,47
LIMESTONE AVENUE,149.1462095,-35.28086878,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1157684,-35.3456686,eastern grey kangaroo,47
SULWOOD DRIVE,149.0786321,-35.38166095,eastern grey kangaroo,47
CRETE ROAD,149.1677262,-35.2883823,eastern grey kangaroo,47
SULWOOD DRIVE,149.1026843,-35.39213897,eastern grey kangaroo,47
RUSDEN STREET,149.1149058,-35.34515494,eastern grey kangaroo,47
KENT STREET,149.0969763,-35.32394541,eastern grey kangaroo,47
FAIRBAIRN AVENUE,149.1714397,-35.29344165,eastern grey kangaroo,47
CRETE ROAD,149.1676578,-35.28840675,eastern grey kangaroo,47
HINDMARSH DRIVE,149.1157412,-35.34550898,eastern grey kangaroo,47
SULWOOD DRIVE,149.1027029,-35.39195054,eastern grey kangaroo,47
FAIRBAIRN AVENUE,149.1710403,-35.29287125,eastern grey kangaroo,47
FAIRBAIRN AVENUE,149.1677262,-35.2883823,eastern grey kangaroo,47
SULWOOD DRIVE,149.1026843,-35.39213897,eastern grey kangaroo,47
WOODCOCK DRIVE,149.0872303,-35.44083702,wombat,47
ARMBRUSTER STREET,149.0873527,-35.44095542,wombat,46
HARCUS CLOSE,149.0870221,-35.44021858,eastern grey kangaroo,46
HINDMARSH DRIVE,149.1156778,-35.34568156,eastern grey kangaroo,46
SULWOOD DRIVE,149.0789877,-35.38179579,eastern grey kangaroo,46
SULWOOD DRIVE,149.0786017,-35.38175713,eastern grey kangaroo,46
SULWOOD DRIVE,149.0788316,-35.38133718,eastern grey kangaroo,46
HINDMARSH DRIVE,149.1143636,-35.3453909,eastern grey kangaroo,46
SULWOOD DRIVE,149.0785766,-35.38147748,eastern grey kangaroo,46
HINDMARSH DRIVE,149.1166383,-35.34582941,eastern grey kangaroo,46
ARMBRUSTER STREET,149.0873677,-35.44096513,eastern grey kangaroo,46
ARMBRUSTER STREET,149.0880156,-35.44030462,eastern grey kangaroo,46
HINDMARSH DRIVE,149.1153798,-35.3454184,eastern grey kangaroo,46
SULWOOD DRIVE,149.0790523,-35.38171583,eastern grey kangaroo,46
HINDMARSH DRIVE,149.11458,-35.34534338,eastern grey kangaroo,46
RUSDEN STREET,149.1142797,-35.34532328,eastern grey kangaroo,46
RUSDEN STREET,149.1142766,-35.34528979,eastern grey kangaroo,46
SULWOOD DRIVE,149.0789085,-35.38194716,eastern grey kangaroo,46
LIMESTONE AVENUE,149.1463594,-35.28047228,eastern grey kangaroo,46
ADDISON ROAD,149.1716693,-35.29334296,eastern grey kangaroo,46
SULWOOD DRIVE,149.0788808,-35.38161656,eastern grey kangaroo,46
SULWOOD DRIVE,149.07852,-35.38125492,eastern grey kangaroo,46
SULWOOD DRIVE,149.0788035,-35.38171206,eastern grey kangaroo,46
SULWOOD DRIVE,149.0787341,-35.38185868,eastern grey kangaroo,46
SULWOOD DRIVE,149.0786017,-35.38175713,eastern grey kangaroo,46
SULWOOD DRIVE,149.0788316,-35.38133718,eastern grey kangaroo,46
SULWOOD DRIVE,149.1027652,-35.39197784,eastern grey kangaroo,46
SULWOOD DRIVE,149.1027674,-35.39222027,eastern grey kangaroo,46
SULWOOD DRIVE,149.0789092,-35.38192055,eastern grey kangaroo,46
ADDISON ROAD,149.1715482,-35.29339617,eastern grey kangaroo,46
SULWOOD DRIVE,149.0786721,-35.38185222,eastern grey kangaroo,46
HINDMARSH DRIVE,149.1162371,-35.34560567,eastern grey kangaroo,46
HINDMARSH DRIVE,149.1166012,-35.34574327,eastern grey kangaroo,46
HINDMARSH DRIVE,149.1143636,-35.3453909,eastern grey kangaroo,46
HINDMARSH DRIVE,149.1161836,-35.34551083,eastern grey kangaroo,46
SULWOOD DRIVE,149.07852,-35.38125492,eastern grey kangaroo,46
SULWOOD DRIVE,149.0961547,-35.38557217,eastern grey kangaroo,45
SULWOOD DRIVE,149.0962246,-35.38535988,eastern grey kangaroo,45
SULWOOD DRIVE,149.1027408,-35.3922579,eastern grey kangaroo,45
SULWOOD DRIVE,149.1027853,-35.39228943,eastern grey kangaroo,45
HINDMARSH DRIVE,149.1157615,-35.34583731,eastern grey kangaroo,45
CRETE ROAD,149.1667694,-35.28779445,eastern grey kangaroo,45
SULWOOD DRIVE,149.0788127,-35.38151895,eastern grey kangaroo,45
CEREMONIAL ROAD,149.1709763,-35.29284239,eastern grey kangaroo,45
LIMESTONE AVENUE,149.1462384,-35.28057912,eastern grey kangaroo,45
HINDMARSH DRIVE,149.1155891,-35.34520082,eastern grey kangaroo,45
LIMESTONE AVENUE,149.1460916,-35.28063829,eastern grey kangaroo,45
SULWOOD DRIVE,149.0789704,-35.38200408,eastern grey kangaroo,45
HINDMARSH DRIVE,149.1162577,-35.34545758,eastern grey kangaroo,45
SULWOOD DRIVE,149.0785029,-35.38125108,eastern grey kangaroo,45
SULWOOD DRIVE,149.0789129,-35.38154548,eastern grey kangaroo,45
CRETE ROAD,149.167662,-35.28838791,eastern grey kangaroo,45
HINDMARSH DRIVE,149.1162222,-35.34541971,eastern grey kangaroo,45
HINDMARSH DRIVE,149.1160196,-35.34567259,eastern grey kangaroo,45
SULWOOD DRIVE,149.1025048,-35.39191721,eastern grey kangaroo,45
HINDMARSH DRIVE,149.1166161,-35.34553509,eastern grey kangaroo,45
,149.1709763,-35.29284239,eastern grey kangaroo,45
SULWOOD DRIVE,149.0790007,-35.3817667,eastern grey kangaroo,45
SULWOOD DRIVE,149.1026786,-35.39174544,eastern grey kangaroo,45
CRETE ROAD,149.1667535,-35.28782413,eastern grey kangaroo,45
PHILLIP AVENUE,149.1546898,-35.25076037,eastern grey kangaroo,45
SULWOOD DRIVE,149.0790431,-35.38198247,eastern grey kangaroo,45
SULWOOD DRIVE,149.0790338,-35.381735,wallaby,45
TRELOAR CRESCENT,149.1464155,-35.28040148,eastern grey kangaroo,45
FAIRBAIRN AVENUE,149.1703004,-35.29243348,eastern grey kangaroo,45
FAIRBAIRN AVENUE,149.170866,-35.29274783,eastern grey kangaroo,45
SULWOOD DRIVE,149.0794125,-35.38226715,eastern grey kangaroo,45
SULWOOD DRIVE,149.1023873,-35.39185017,eastern grey kangaroo,45
SULWOOD DRIVE,149.0962059,-35.38543627,eastern grey kangaroo,45
LIMESTONE AVENUE,149.1468038,-35.28091966,eastern grey kangaroo,44
ARMBRUSTER STREET,149.087261,-35.44092789,eastern grey kangaroo,44
ARMBRUSTER STREET,149.0872685,-35.4409269,eastern grey kangaroo,44
LIMESTONE AVENUE,149.1463535,-35.2804706,eastern grey kangaroo,44
SULWOOD DRIVE,149.1026639,-35.39230712,eastern grey kangaroo,44
GENERAL BRIDGES DRIVE,149.1709905,-35.29277382,eastern grey kangaroo,44
ARMBRUSTER STREET,149.0870858,-35.44090638,eastern grey kangaroo,44
SULWOOD DRIVE,149.1027121,-35.3923355,eastern grey kangaroo,44
LIMESTONE AVENUE,149.1465001,-35.28092143,eastern grey kangaroo,44
ARMBRUSTER STREET,149.0879602,-35.44020753,eastern grey kangaroo,44
ARMBRUSTER STREET,149.0878233,-35.4410558,eastern grey kangaroo,44
HINDMARSH DRIVE,149.1162433,-35.3457734,eastern grey kangaroo,44
SULWOOD DRIVE,149.0788667,-35.38150735,eastern grey kangaroo,44
HINDMARSH DRIVE,149.1164366,-35.34571905,eastern grey kangaroo,44
HINDMARSH DRIVE,149.1154606,-35.34521799,swamp wallaby,44
HINDMARSH DRIVE,149.1143709,-35.34542889,eastern grey kangaroo,44
SULWOOD DRIVE,149.0792108,-35.38239716,eastern grey kangaroo,44
,149.1709905,-35.29277382,eastern grey kangaroo,44
SULWOOD DRIVE,149.1027121,-35.3923355,eastern grey kangaroo,44
ARMBRUSTER STREET,149.0878233,-35.4410558,eastern grey kangaroo,44
WOODCOCK DRIVE,149.0879602,-35.44020753,eastern grey kangaroo,44
TRELOAR CRESCENT,149.1465001,-35.28092143,eastern grey kangaroo,44
ARMBRUSTER STREET,149.0871557,-35.44088427,eastern grey kangaroo,44
CRETE ROAD,149.166671,-35.2878712,eastern grey kangaroo,44
SULWOOD DRIVE,149.0785427,-35.3811741,eastern grey kangaroo,44
SULWOOD DRIVE,149.0785891,-35.38115158,eastern grey kangaroo,44
CRETE ROAD,149.1666725,-35.28782082,eastern grey kangaroo,43
GENERAL BRIDGES DRIVE,149.1708965,-35.29265923,eastern grey kangaroo,43
ARMBRUSTER STREET,149.0881261,-35.44032499,eastern grey kangaroo,43
HINDMARSH DRIVE,149.1142034,-35.34546007,eastern grey kangaroo,43
LIMESTONE AVENUE,149.146827,-35.28120339,eastern grey kangaroo,43
SULWOOD DRIVE,149.1028143,-35.39239413,eastern grey kangaroo,43
CEREMONIAL ROAD,149.1707956,-35.29294338,eastern grey kangaroo,43
GENERAL BRIDGES DRIVE,149.1706466,-35.29240144,eastern grey kangaroo,43
ADDISON ROAD,149.1717818,-35.29323877,eastern grey kangaroo,43
PHILLIP AVENUE,149.1544603,-35.25070328,eastern grey kangaroo,43
CEREMONIAL ROAD,149.1708195,-35.29270185,eastern grey kangaroo,43
CEREMONIAL ROAD,149.1706395,-35.29273972,eastern grey kangaroo,43
CRETE ROAD,149.1681558,-35.28865898,eastern grey kangaroo,43
LIMESTONE AVENUE,149.1469347,-35.28090613,eastern grey kangaroo,43
THARWA DRIVE,149.0976578,-35.44347914,eastern grey kangaroo,43
LIMESTONE AVENUE,149.1466783,-35.28106096,eastern grey kangaroo,43
RUSDEN STREET,149.1143413,-35.34506803,eastern grey kangaroo,43
CRETE ROAD,149.1680729,-35.28847407,eastern grey kangaroo,43
SULWOOD DRIVE,149.1028486,-35.39237791,eastern grey kangaroo,43
ARMBRUSTER STREET,149.0881823,-35.4404121,eastern grey kangaroo,43
SULWOOD DRIVE,149.0789498,-35.3816155,eastern grey kangaroo,43
THARWA DRIVE,149.0977752,-35.44355398,eastern grey kangaroo,43
HINDMARSH DRIVE,149.1150901,-35.34583619,eastern grey kangaroo,43
LIMESTONE AVENUE,149.1460765,-35.28077975,eastern grey kangaroo,43
SULWOOD DRIVE,149.1029861,-35.39231143,eastern grey kangaroo,43
FAIRBAIRN AVENUE,149.1717818,-35.29323877,eastern grey kangaroo,43
MAJURA AVENUE,149.1544603,-35.25070328,eastern grey kangaroo,43
,149.1707956,-35.29294338,eastern grey kangaroo,43
SULWOOD DRIVE,149.0963248,-35.38551573,eastern grey kangaroo,43
ARMBRUSTER STREET,149.0871444,-35.44093668,eastern grey kangaroo,43
CRETE ROAD,149.1680934,-35.28842094,wallaroo,43
WOODCOCK DRIVE,149.0870991,-35.44091375,eastern grey kangaroo,43
TRELOAR CRESCENT,149.146278,-35.28027372,eastern grey kangaroo,43
FAIRBAIRN AVENUE,149.1665469,-35.2877245,eastern grey kangaroo,43
FAIRBAIRN AVENUE,149.1706395,-35.29273972,eastern grey kangaroo,43
FAIRBAIRN AVENUE,149.1681558,-35.28865898,eastern grey kangaroo,43
FAIRBAIRN AVENUE,149.1706466,-35.29240144,eastern grey kangaroo,43
TRELOAR CRESCENT,149.1469347,-35.28090613,eastern grey kangaroo,43
SULWOOD DRIVE,149.102079,-35.39118288,eastern grey kangaroo,42
ARMBRUSTER STREET,149.0872161,-35.44102134,eastern grey kangaroo,42
SULWOOD DRIVE,149.1027316,-35.39156244,eastern grey kangaroo,42
SULWOOD DRIVE,149.1031448,-35.39274092,eastern grey kangaroo,42
PHILLIP AVENUE,149.1545068,-35.25078382,eastern grey kangaroo,42
LIMESTONE AVENUE,149.1471496,-35.28053962,eastern grey kangaroo,42
CEREMONIAL ROAD,149.1707131,-35.29252925,eastern grey kangaroo,42
CEREMONIAL ROAD,149.1707441,-35.29281325,eastern grey kangaroo,42
SULWOOD DRIVE,149.0790217,-35.38212562,eastern grey kangaroo,42
SULWOOD DRIVE,149.0792433,-35.38223531,eastern grey kangaroo,42
PHILLIP AVENUE,149.1547293,-35.25083748,eastern grey kangaroo,42
